Time,ETH / USD Denominated Closing Price
2016/12/31,8.126329622
2017/1/1,8.177851768
2017/1/2,8.378456487
2017/1/3,9.69747177
2017/1/4,11.06863239
2017/1/5,10.22479391
2017/1/6,10.12583202
2017/1/7,9.924744594
2017/1/8,10.43859733
2017/1/9,10.36482857
2017/1/10,10.62836721
2017/1/11,9.972434649
2017/1/12,9.772264103
2017/1/13,9.81302505
2017/1/14,9.77886793
2017/1/15,9.871377501
2017/1/16,9.613635269
2017/1/17,10.24363927
2017/1/18,10.24175764
2017/1/19,10.43457459
2017/1/20,10.65083345
2017/1/21,10.96216382
2017/1/22,10.70409294
2017/1/23,10.79881084
2017/1/24,10.54599321
2017/1/25,10.51334967
2017/1/26,10.62586501
2017/1/27,10.53412348
2017/1/28,10.56387358
2017/1/29,10.49499527
2017/1/30,10.5793408
2017/1/31,10.7060902
2017/2/1,10.72281057
2017/2/2,10.82796256
2017/2/3,10.95710676
2017/2/4,11.39597693
2017/2/5,11.2444301
2017/2/6,11.33666012
2017/2/7,11.48690031
2017/2/8,11.40079323
2017/2/9,10.98989481
2017/2/10,11.37336879
2017/2/11,11.48352598
2017/2/12,11.46373796
2017/2/13,11.38886219
2017/2/14,13.09409656
2017/2/15,13.01426651
2017/2/16,12.88548199
2017/2/17,12.7742326
2017/2/18,12.89827522
2017/2/19,12.86141336
2017/2/20,12.70234358
2017/2/21,12.81274392
2017/2/22,12.7348606
2017/2/23,13.2532427
2017/2/24,13.1775699
2017/2/25,13.64543017
2017/2/26,14.65900731
2017/2/27,15.65684233
2017/2/28,15.65335474
2017/3/1,17.26568435
2017/3/2,19.20456121
2017/3/3,19.65470319
2017/3/4,18.68422489
2017/3/5,19.30111122
2017/3/6,19.73103376
2017/3/7,18.83910784
2017/3/8,16.67782018
2017/3/9,17.79808751
2017/3/10,19.180942
2017/3/11,21.44621625
2017/3/12,23.21961883
2017/3/13,28.54481373
2017/3/14,28.57624555
2017/3/15,34.67317201
2017/3/16,44.77658938
2017/3/17,44.1278453
2017/3/18,32.24166539
2017/3/19,43.34329767
2017/3/20,41.82704329
2017/3/21,42.39891905
